"","CVE_LOC","ENT","NOM_ENT","MUN","NOM_MUN","LOC","NOM_LOC","POB_TOT","ANALF","SBASC","OVSDE","OVSEE","OVSAE","OVPT","OVSREF","OVHAC","IM_2020","GM_2020","IMN_2020","IMNSon_2020","GMSon_2020"
"1","260010001","26","Sonora","001","Aconchi","0001","Aconchi",1650,2.099533437014,36.8584758942457,0.666666666666667,0.848484848484849,0.484848484848485,0.484848484848485,3.63636363636364,24.2424242424242,24.0363221404013,"Muy bajo",0.918067373929425,0.910724971738757,"Muy bajo"
"2","260010003","26","Sonora","001","Aconchi","0003","La Estancia",761,3.92156862745098,35.8288770053476,1.05124835742444,1.05124835742444,0.788436268068331,0,3.54796320630749,26.6754270696452,23.8889254262016,"Muy bajo",0.912437556125321,0.904590637131517,"Muy bajo"
"3","260010006","26","Sonora","001","Aconchi","0006","El Rodeo (El Rodeo de Aconchi)",23,0,52.3809523809524,0,0,0,0,0,0,24.5918120677987,"Muy bajo",0.939284312856731,0.933843269213084,"Muy bajo"
"4","260010007","26","Sonora","001","Aconchi","0007","San Pablo (San Pablo de Aconchi)",118,4.34782608695652,44.5652173913043,0.847457627118644,0,0.847457627118644,0,1.69491525423729,11.864406779661,24.1430211570865,"Muy bajo",0.922142743092678,0.915165555602273,"Muy bajo"
"5","260020001","26","Sonora","002","Agua Prieta","0001","Agua Prieta",91029,1.44195668045753,25.6579710909226,0.190412930366434,0.890040184650128,0.541360375520326,0.903414374916966,3.88626851790341,25.1646757962559,24.37645987962,"Muy bajo",0.931058935583273,0.924880773760847,"Muy bajo"
"6","260020002","26","Sonora","002","Agua Prieta","0002","Agua Blanca",50,6.38297872340426,65.9574468085106,0,16,0,4,16,12,22.4040029579437,"Bajo",0.855720939375089,0.84279135391438,"Bajo"
"7","260020009","26","Sonora","002","Agua Prieta","0009","Cabullona",52,0,63.8297872340426,0,1.92307692307692,0,0,13.4615384615385,32.6923076923077,22.7877149606882,"Bajo",0.870376820114543,0.858760623178143,"Bajo"
"8","260020013","26","Sonora","002","Agua Prieta","0013","Colonia Morelos",242,3.57142857142857,67.3469387755102,0,0,0,7.85123966942149,1.65289256198347,20.2479338842975,23.0725877049539,"Muy bajo",0.881257535171716,0.870616414830601,"Bajo"
"9","260020015","26","Sonora","002","Agua Prieta","0015","18 de Agosto (Corral de Palos)",73,0,22.7272727272727,0,94.2028985507246,2.89855072463768,2.89855072463768,81.1594202898551,82.6086956521739,17.508044604291,"Alto",0.668719799918288,0.639032084737413,"Alto"
"10","260020046","26","Sonora","002","Agua Prieta","0046","El Rusbayo",116,13.1868131868132,72.5274725274725,4.3859649122807,2.63157894736842,0,10.5263157894737,10.5263157894737,26.3157894736842,21.6615820231718,"Bajo",0.827364170233996,0.811893389478481,"Medio"
