"","CVE_AGEB","ENT","NOM_ENT","MUN","NOM_MUN","LOC","NOM_LOC","AGEB","POB_TOTAL","P6A14NAE","SBASC","PSDSS","OVSDE","OVSEE","OVSAE","OVPT","OVSREF","OVSINT","OVSCEL","OVHAC","IM_2020","GM_2020","IMN_2020","IMNSon_2020","GMSon_2020"
"1","2600100010055","26","Sonora","001","Aconchi","0001","Aconchi","0055",764,2.85714285714286,33.728813559322,7.32984293193717,0.523560209424084,0.130890052356021,0,0,2.74869109947644,59.4240837696335,7.85340314136126,25.261780104712,122.290232787068,"Bajo",0.955285445227713,0.901146796759535,"Bajo"
"2","260010001006A","26","Sonora","001","Aconchi","0001","Aconchi","006A",658,6.02409638554217,41.6981132075472,7.92682926829268,0,0.151975683890578,0,0,3.19148936170213,52.2796352583587,9.11854103343465,14.1337386018237,121.59987718759,"Bajo",0.949892646136707,0.888704882344295,"Medio"
"3","2600100010110","26","Sonora","001","Aconchi","0001","Aconchi","0110",82,0,36.8421052631579,4.8780487804878,1.21951219512195,0,1.21951219512195,0,0,87.8048780487805,1.21951219512195,56.0975609756098,121.872595208357,"Bajo",0.952023017058022,0.893619935219135,"Bajo"
"4","260010001013A","26","Sonora","001","Aconchi","0001","Aconchi","013A",72,0,29.4117647058824,9.72222222222222,0,0,0,0,8.33333333333333,93.0555555555556,4.16666666666667,72.2222222222222,121.219751022561,"Bajo",0.946923243065619,0.881854069204139,"Medio"
"5","2600200010512","26","Sonora","002","Agua Prieta","0001","Agua Prieta","0512",1176,2.36686390532544,39.7752808988764,34.2687074829932,0,0.683176771989752,0,0.170794192997438,3.75747224594364,27.8394534585824,6.40478223740393,24.5943637916311,120.402235976437,"Medio",0.940537122056452,0.867120427230732,"Medio"
"6","2600200010527","26","Sonora","002","Agua Prieta","0001","Agua Prieta","0527",260,3.44827586206897,18.6274509803922,38.2470119521912,0,0.401606425702811,0.401606425702811,0,2.81124497991968,24.8995983935743,4.41767068273092,7.2289156626506,122.145486536473,"Bajo",0.954154741791361,0.898538111520809,"Bajo"
"7","2600200010531","26","Sonora","002","Agua Prieta","0001","Agua Prieta","0531",829,3.48837209302326,13.037037037037,35.3437876960193,0,0,0,0,1.21212121212121,11.8787878787879,7.15151515151515,10.9090909090909,122.830554006261,"Bajo",0.959506231996037,0.910884720767134,"Bajo"
"8","2600200010546","26","Sonora","002","Agua Prieta","0001","Agua Prieta","0546",788,3.2258064516129,16.3833075734158,36.6751269035533,0,0.126903553299492,0.253807106598985,0.50761421319797,2.53807106598985,12.6903553299492,5.0761421319797,9.77157360406091,122.549207666801,"Bajo",0.957308459884319,0.905814164260821,"Bajo"
"9","2600200010550","26","Sonora","002","Agua Prieta","0001","Agua Prieta","0550",729,6.25,13.2042253521127,28.9835164835165,0,0,0,0,0.276625172890733,7.33056708160443,2.9045643153527,8.71369294605809,123.275911747072,"Bajo",0.962985199678247,0.918911168150953,"Bajo"
"10","2600200010565","26","Sonora","002","Agua Prieta","0001","Agua Prieta","0565",856,5.78512396694215,16.0060975609756,29.3567251461988,0,0,0,0,1.05140186915888,10.981308411215,4.67289719626168,14.9532710280374,122.741446236729,"Bajo",0.958810155511835,0.909278778491749,"Bajo"
"11","260020001057A","26","Sonora","002","Agua Prieta","0001","Agua Prieta","057A",1041,2.17391304347826,17.8571428571429,33.4615384615385,0,0,0,0,0.868725868725869,11.003861003861,3.57142857142857,11.5830115830116,123.159264612194,"Bajo",0.962073995997979,0.916808898436573,"Bajo"
"12","2600200010584","26","Sonora","002","Agua Prieta","0001","Agua Prieta","0584",569,4.54545454545455,16.1835748792271,38.0952380952381,0,0,0,0,0.373134328358209,8.95522388059701,2.23880597014925,6.90298507462687,122.787926483505,"Bajo",0.959173241771655,0.910116467434699,"Bajo"
"13","2600200010599","26","Sonora","002","Agua Prieta","0001","Agua Prieta","0599",1555,6.63716814159292,35.9867330016584,35.048231511254,0.477815699658703,0.273037542662116,0.477815699658703,0.955631399317406,2.93515358361775,26.5529010238908,6.27986348122867,21.5699658703072,119.870173696015,"Medio",0.93638085102108,0.857531349715328,"Medio"
"14","2600200010601","26","Sonora","002","Agua Prieta","0001","Agua Prieta","0601",1755,2.22222222222222,28.6903860711582,34.4355758266819,0,0.285714285714286,0.514285714285714,0.457142857142857,2.85714285714286,21.9428571428571,3.6,26,121.497727766549,"Bajo",0.949094693160945,0.886863897270632,"Medio"
"15","2600200010616","26","Sonora","002","Agua Prieta","0001","Agua Prieta","0616",1222,2.05479452054794,25.7333333333333,29.050736497545,0,0.245700245700246,0,0,2.86650286650287,20.2293202293202,5.48730548730549,15.8886158886159,122.410961326747,"Bajo",0.956228531311944,0.903322623477387,"Bajo"
"16","2600200010620","26","Sonora","002","Agua Prieta","0001","Agua Prieta","0620",1016,4.91803278688525,24.009900990099,27.0750988142292,0,0.197628458498024,0,0,2.66798418972332,17.0948616600791,4.74308300395257,19.1699604743083,122.175082835122,"Bajo",0.954385936979134,0.899071509982525,"Bajo"
"17","2600200010635","26","Sonora","002","Agua Prieta","0001","Agua Prieta","0635",846,2.58620689655172,21.0995542347697,31.4792899408284,0,0,0,0,0.354609929078014,16.3120567375887,5.02392344497608,13.4751773049645,122.815115336354,"Bajo",0.959385630895519,0.910606477772055,"Bajo"
"18","260020001064A","26","Sonora","002","Agua Prieta","0001","Agua Prieta","064A",753,0.775193798449612,15.9929701230228,31.4741035856574,0,0,0,0.531914893617021,0,8.37765957446809,3.19148936170213,12.2340425531915,123.719120550136,"Muy bajo",0.966447380664533,0.926898886364541,"Bajo"
"19","2600200010654","26","Sonora","002","Agua Prieta","0001","Agua Prieta","0654",1469,1.75438596491228,34.4582593250444,22.7520435967302,0,0.204778156996587,0.068259385665529,0.68259385665529,3.95904436860068,33.037542662116,7.44027303754266,25.3924914675768,121.645311609203,"Bajo",0.950247562802497,0.889523722932598,"Medio"
"20","2600200010669","26","Sonora","002","Agua Prieta","0001","Agua Prieta","0669",1016,5.92105263157895,27.5510204081633,35.0393700787402,0,0.788177339901478,0,0.197044334975369,5.41871921182266,21.576354679803,3.8423645320197,24.0394088669951,120.664364392742,"Medio",0.942584770958326,0.871844629256377,"Medio"
"21","2600200010673","26","Sonora","002","Agua Prieta","0001","Agua Prieta","0673",838,0.854700854700855,24.6554364471669,29.9760191846523,0,0,0,0,0.4778972520908,16.5071770334928,5.49581839904421,16.2485065710872,122.877963575988,"Bajo",0.959876577778297,0.911739158406885,"Bajo"
"22","2600200010688","26","Sonora","002","Agua Prieta","0001","Agua Prieta","0688",1593,0.896860986547085,21.7938630999213,27.027027027027,0,0,0,0.441361916771753,1.82275298554368,14.3934632306725,4.08548082966688,8.44360428481411,123.526921344842,"Bajo",0.964945992538777,0.923434981581625,"Bajo"
"23","2600200010692","26","Sonora","002","Agua Prieta","0001","Agua Prieta","0692",676,0.970873786407767,24.7637051039698,39.3175074183976,0,0,0,0.300751879699248,1.50375939849624,13.5338345864662,6.01503759398496,15.0375939849624,122.107505549887,"Bajo",0.953858048565298,0.897853600256083,"Bajo"
"24","2600200010705","26","Sonora","002","Agua Prieta","0001","Agua Prieta","0705",620,7.47663551401869,31.3769751693002,38.7096774193548,0.161290322580645,0,0.32258064516129,0.483870967741935,4.03225806451613,24.1935483870968,2.41935483870968,30,119.985233259358,"Medio",0.937279653187785,0.859605007466277,"Medio"
"25","260020001071A","26","Sonora","002","Agua Prieta","0001","Agua Prieta","071A",281,2.08333333333333,29.4117647058824,41.2811387900356,1.77935943060498,0,0,1.77935943060498,3.20284697508897,25.6227758007117,3.55871886120996,20.2846975088968,120.576066327305,"Medio",0.941895019578918,0.870253279850318,"Medio"
"26","2600200010724","26","Sonora","002","Agua Prieta","0001","Agua Prieta","0724",585,5.68181818181818,44.060475161987,21.8803418803419,0,0,0,1.53846153846154,5.12820512820513,40,6.83760683760684,31.6239316239316,120.056373870904,"Medio",0.937835376970674,0.860887137141146,"Medio"
"27","2600200010739","26","Sonora","002","Agua Prieta","0001","Agua Prieta","0739",1059,0.625,26.7427122940431,25.7575757575758,0,0,0.285714285714286,0.285714285714286,3.04761904761905,21.4285714285714,3.52380952380952,19.8095238095238,122.877778529214,"Bajo",0.959875132262286,0.911735823406594,"Bajo"
"28","2600200010743","26","Sonora","002","Agua Prieta","0001","Agua Prieta","0743",786,0.735294117647059,28.2722513089005,24.3002544529262,0,0,0,0.38265306122449,2.4234693877551,20.5357142857143,3.18877551020408,17.7295918367347,123.009748148873,"Bajo",0.960906029448423,0.91411424217288,"Bajo"
"29","2600200010762","26","Sonora","002","Agua Prieta","0001","Agua Prieta","0762",412,10.4166666666667,31.0030395136778,31.3106796116505,0,0,0,2.96296296296296,1.97530864197531,19.2592592592593,5.18518518518519,15.5555555555556,120.263151592119,"Medio",0.93945064699651,0.864613782818071,"Medio"
"30","2600200010777","26","Sonora","002","Agua Prieta","0001","Agua Prieta","0777",504,1.20481927710843,25.9640102827763,32.9365079365079,0,0,0,0,2.38095238095238,12.5,2.18253968253968,15.2777777777778,122.726075491027,"Bajo",0.958690085009738,0.909001759658749,"Bajo"
"31","2600200010781","26","Sonora","002","Agua Prieta","0001","Agua Prieta","0781",343,4,25.5639097744361,35.8600583090379,0,0.291545189504373,0,0,0.583090379008746,13.4110787172012,0.87463556851312,15.1603498542274,122.117526250398,"Bajo",0.953936326520386,0.898034198049789,"Bajo"
"32","2600200010796","26","Sonora","002","Agua Prieta","0001","Agua Prieta","0796",499,4.22535211267606,34.3163538873995,22.8456913827655,0.801603206412826,0,1.00200400801603,0.200400801603206,2.40480961923848,25.3036437246964,6.2124248496994,20.6412825651303,121.43464380943,"Bajo",0.94860190494156,0.885726968424045,"Medio"
"33","2600200010809","26","Sonora","002","Agua Prieta","0001","Agua Prieta","0809",488,2.5,32.4175824175824,27.6639344262295,0,0,0,0,2.2680412371134,21.4432989690722,4.94845360824742,29.0721649484536,121.730972905528,"Bajo",0.950916716730276,0.891067551241342,"Medio"
"34","2600200010813","26","Sonora","002","Agua Prieta","0001","Agua Prieta","0813",344,2.5,32.8358208955224,35.1744186046512,0,0,0,0,1.16279069767442,24.7093023255814,2.32558139534884,19.4767441860465,121.644307796592,"Bajo",0.950239721394765,0.88950563174799,"Medio"
"35","2600200010828","26","Sonora","002","Agua Prieta","0001","Agua Prieta","0828",516,6.74157303370786,37.0558375634518,28.1007751937984,1.74757281553398,0,1.94174757281553,1.16504854368932,7.37864077669903,28.1553398058252,2.13592233009709,25.631067961165,119.811735094798,"Medio",0.935924350580204,0.856478141665103,"Medio"
"36","2600200010832","26","Sonora","002","Agua Prieta","0001","Agua Prieta","0832",185,3.125,35.036496350365,27.5675675675676,0,0,0,0.540540540540541,2.16216216216216,27.027027027027,3.78378378378378,22.7027027027027,121.609969719537,"Bajo",0.949971485212033,0.888886774718041,"Medio"
"37","2600200010851","26","Sonora","002","Agua Prieta","0001","Agua Prieta","0851",1389,7.5,38.4462151394422,32.5648414985591,0.287976961843053,0.719942404607631,0.287976961843053,0.719942404607631,5.11159107271418,32.9971181556196,6.47948164146868,26.2778977681785,119.321847116642,"Medio",0.932097529380679,0.847649149328573,"Medio"
"38","2600200010866","26","Sonora","002","Agua Prieta","0001","Agua Prieta","0866",533,6.17283950617284,26.1213720316623,33.5216572504708,0,0,0.37593984962406,2.06766917293233,1.31578947368421,18.0451127819549,4.69924812030075,32.3308270676692,120.828676943754,"Medio",0.943868318997065,0.874805947595196,"Medio"
"39","2600200010870","26","Sonora","002","Agua Prieta","0001","Agua Prieta","0870",433,1.49253731343284,28.7009063444109,30.4849884526559,0,0,0,0.92378752886836,0,32.5635103926097,9.00692840646651,22.1709006928406,121.752638586664,"Bajo",0.951085960907661,0.891458020371521,"Medio"
"40","2600200010885","26","Sonora","002","Agua Prieta","0001","Agua Prieta","0885",303,0,27.2727272727273,30.6930693069307,0,0,0,0,0.677966101694915,21.0169491525424,2.3728813559322,19.3220338983051,122.871672834308,"Bajo",0.959827436863033,0.91162578369152,"Bajo"
"41","260020001089A","26","Sonora","002","Agua Prieta","0001","Agua Prieta","089A",1200,3.96039603960396,28.6705202312139,33.3333333333333,0.584307178631052,0.1669449081803,0,0.1669449081803,4.34056761268781,24.2904841402337,1.58597662771285,28.7145242070117,121.161674610758,"Bajo",0.946469571912636,0.880807388702462,"Medio"
"42","2600200010921","26","Sonora","002","Agua Prieta","0001","Agua Prieta","0921",926,1.37931034482759,27.5613275613276,34.341252699784,0,0,0,0.216450216450216,6.81818181818182,29.5454545454545,3.78787878787879,22.2943722943723,121.67518882818,"Bajo",0.95048095243454,0.890062184273041,"Medio"
"43","2600200011262","26","Sonora","002","Agua Prieta","0001","Agua Prieta","1262",829,3.10077519379845,28.33607907743,30.0361881785283,0.965018094089264,0,1.08564535585042,0.241254523522316,1.08564535585042,23.642943305187,3.98069963811821,20.627261761158,121.697704466261,"Bajo",0.950656836156881,0.890467971728405,"Medio"
"44","2600200011281","26","Sonora","002","Agua Prieta","0001","Agua Prieta","1281",1097,3.27868852459016,35.0118562625125,32.1167883211679,0.37243947858473,0.465549348230912,0.37243947858473,2.42085661080074,2.42085661080074,24.7672253258845,4.20954162768943,27.0949720670391,120.622976230641,"Medio",0.942261462154681,0.871098712266562,"Medio"
"45","2600200011296","26","Sonora","002","Agua Prieta","0001","Agua Prieta","1296",1834,3.58306188925081,24.469696969697,23.4554401312192,0.273672687465791,0.164203612479475,0.164203612479475,2.02850877192982,2.57252326217843,18.7192118226601,2.18938149972633,27.7504105090312,122.285757166244,"Bajo",0.955250483355987,0.901066135008852,"Bajo"
"46","2600200011309","26","Sonora","002","Agua Prieta","0001","Agua Prieta","1309",1463,3.57142857142857,28.9279112754159,29.3916609706083,0.205198358413133,0.0683994528043776,0,0.752393980848153,3.48837209302326,24.6922024623803,3.28317373461012,25.8549931600547,121.594214764003,"Bajo",0.949848413406796,0.888602831474127,"Medio"
